#           time             x_1             y_1             x_2                 y_2         theta_1         theta_2              y2         omega_2
      4.90000000     -0.19479368      4.99049125      0.71863757      5.39748430      3.23914414      8.27314135      0.00000000      0.00000000
      5.00000000     -0.18364806      4.99155050      0.67938987      5.49668961      3.23354622      8.38352478      0.00000000      0.00000000
      5.10000000     -0.17172830      4.99261371      0.63530995      5.58311286      3.22756267      8.48565883      0.00000000      0.00000000
      5.20000000     -0.15962284      4.99361996      0.58828521      5.65742230      3.22148905      8.57987297      0.00000000      0.00000000
      5.30000000     -0.14781566      4.99453015      0.53987265      5.72053621      3.21556793      8.66647786      0.00000000      0.00000000
      5.40000000     -0.13669023      4.99532348      0.49131705      5.77353094      3.20999109      8.74578806      0.00000000      0.00000000
      5.50000000     -0.12653617      4.99599314      0.44357467      5.81756093      3.20490302      8.81813720      0.00000000      0.00000000
      5.60000000     -0.11755870      4.99654200      0.39734303      5.85379121      3.20040590      8.88388496      0.00000000      0.00000000
      5.70000000     -0.10989046      4.99697874      0.35309578      5.88334421      3.19656557      8.94341663      0.00000000      0.00000000
      5.80000000     -0.10360478      4.99731471      0.31112044      5.90726141      3.19341824      8.99713716      0.00000000      0.00000000
      5.90000000     -0.09872912      4.99756165      0.27155625      5.92647970      3.19097729      9.04546175      0.00000000      0.00000000
      6.00000000     -0.09525787      4.99773020      0.23442971      5.94182029      3.18923962      9.08880533      0.00000000      0.00000000
      6.10000000     -0.09316350      4.99782896      0.19968582      5.95398757      3.18819126      9.12757252      0.00000000      0.00000000
      6.20000000     -0.09240595      4.99786414      0.16721430      5.96357493      3.18781208      9.16214902      0.00000000      0.00000000
      6.30000000     -0.09294004      4.99783937      0.13687045      5.97107477      3.18807942      9.19289500      0.00000000      0.00000000
      6.40000000     -0.09472110      4.99775572      0.10849122      5.97689042      3.18897093      9.22014038      0.00000000      0.00000000
      6.50000000     -0.09770902      4.99761181      0.08190698      5.98134861      3.19046662      9.24418186      0.00000000      0.00000000
      6.60000000     -0.10187122      4.99740388      0.05695005      5.98471123      3.19255031      9.26528131      0.00000000      0.00000000
      6.70000000     -0.10718453      4.99712580      0.03346049      5.98718589      3.19521061      9.28366508      0.00000000      0.00000000
      6.80000000     -0.11363659      4.99676907      0.01129008      5.98893505      3.19844156      9.29952404      0.00000000      0.00000000
      6.90000000     -0.12122664      4.99632264     -0.00969519      5.99008355      3.20224315      9.31301398      0.00000000      0.00000000
      7.00000000     -0.12996611      4.99577273     -0.02961342      5.99072466      3.20662153      9.32425607      0.00000000      0.00000000
      7.10000000     -0.13987903      4.99510247     -0.04856587      5.99092470      3.21158931      9.33333744      0.00000000      0.00000000
      7.20000000     -0.15100226      4.99429143     -0.06663624      5.99072626      3.21716570      9.34031154      0.00000000      0.00000000
      7.30000000     -0.16338581      4.99331510     -0.08389022      5.99015031      3.22337670      9.34519840      0.00000000      0.00000000
      7.40000000     -0.17709304      4.99214408     -0.10037512      5.98919692      3.23025529      9.34798458      0.00000000      0.00000000
      7.50000000     -0.19220087      4.99074328     -0.11611952      5.98784490      3.23784163      9.34862302      0.00000000      0.00000000
      7.60000000     -0.20879993      4.98907079     -0.13113289      5.98605014      3.24618320      9.34703263      0.00000000      0.00000000
      7.70000000     -0.22699466      4.98707660     -0.14540538      5.98374264      3.25533508      9.34309788      0.00000000      0.00000000
      7.80000000     -0.24690319      4.98470119     -0.15890756      5.98082205      3.26535999      9.33666837      0.00000000      0.00000000
      7.90000000     -0.26865692      4.98187372     -0.17159073      5.97715165      3.27632840      9.32755869      0.00000000      0.00000000
      8.00000000     -0.29239961      4.97851016     -0.18338753      5.97255059      3.28831835      9.31554881      0.00000000      0.00000000
      8.10000000     -0.31828582      4.97451111     -0.19421370      5.96678432      3.30141509      9.30038529      0.00000000      0.00000000
      8.20000000     -0.34647833      4.96975957     -0.20397106      5.95955332      3.31571027      9.28178388      0.00000000      0.00000000
      8.30000000     -0.37714432      4.96411867     -0.21255262      5.95048046      3.33130067      9.25943391      0.00000000      0.00000000
      8.40000000     -0.41044990      4.95742966     -0.21985034      5.93909753      3.34828620      9.23300510      0.00000000      0.00000000
      8.50000000     -0.44655282      4.94951034     -0.22576626      5.92483249      3.36676710      9.20215710      0.00000000      0.00000000
      8.60000000     -0.48559326      4.94015442     -0.23022763      5.90699898      3.38684036      9.16655211      0.00000000      0.00000000
